outer_fold,source_scheme,target,selection_uar_weight,selection_macro_f1_weight,selected_tau,inner_selection_score,inner_uar,inner_macro_f1,inner_repeat
5,muq_multitask,back_placement,0.5,0.5,0.25,0.4094692932843599,0.4336671820035402,0.3852714045651796,3
5,muq_multitask,open_throat,0.5,0.5,0.25,0.3763375205976154,0.4036336756924992,0.3490413655027317,3
5,muq_multitask,breathiness,0.5,0.5,0.25,0.591542075515865,0.6127701934015928,0.5703139576301373,3
5,muq_multitask,vibrato,0.5,0.5,0.75,0.4151166237071886,0.4855218855218854,0.3447113618924917,3
0,muq_multitask,chest_resonance,0.5,0.5,0.75,0.375129007176385,0.4063344341278198,0.34392358022495,4
0,muq_multitask,head_resonance,0.5,0.5,1.0,0.3727463731550389,0.4099574652452644,0.3355352810648133,4
0,muq_multitask,front_placement,0.5,0.5,0.5,0.4126947210502185,0.4279450093403582,0.3974444327600788,4
0,muq_multitask,back_placement,0.5,0.5,0.5,0.4780843011012966,0.496011396011396,0.4601572061911971,4
0,muq_multitask,open_throat,0.5,0.5,1.0,0.3660696271699291,0.4333461758899573,0.2987930784499008,4
0,muq_multitask,breathiness,0.5,0.5,0.0,0.601805632895673,0.5968186134852802,0.6067926523060658,4
0,muq_multitask,vibrato,0.5,0.5,0.0,0.5417978089512641,0.5684244712377705,0.5151711466647577,4
1,muq_multitask,chest_resonance,0.5,0.5,0.5,0.3638258784904832,0.3902803545660688,0.3373714024148976,4
1,muq_multitask,head_resonance,0.5,0.5,0.25,0.3588527757485372,0.3651833717357911,0.3525221797612834,4
1,muq_multitask,front_placement,0.5,0.5,0.0,0.4002302549990455,0.3960176782828231,0.4044428317152679,4
1,muq_multitask,back_placement,0.5,0.5,0.0,0.4049091436091198,0.4009413605221988,0.4088769266960408,4
1,muq_multitask,open_throat,0.5,0.5,0.5,0.3839598436016191,0.4320837390457643,0.3358359481574738,4
1,muq_multitask,breathiness,0.5,0.5,0.0,0.5546052988143164,0.5550404508681029,0.5541701467605298,4
1,muq_multitask,vibrato,0.5,0.5,0.75,0.4353016170839138,0.5149654267301326,0.3556378074376949,4
2,muq_multitask,chest_resonance,0.5,0.5,0.25,0.3246756474893378,0.3350358501244247,0.314315444854251,4
2,muq_multitask,head_resonance,0.5,0.5,0.25,0.4140554659010143,0.4265057346591167,0.4016051971429119,4
2,muq_multitask,front_placement,0.5,0.5,0.75,0.3687197329861492,0.387499287992709,0.3499401779795894,4
2,muq_multitask,back_placement,0.5,0.5,0.75,0.362239080080121,0.4143616851003893,0.3101164750598527,4
2,muq_multitask,open_throat,0.5,0.5,0.5,0.4216351030031177,0.4611417919537007,0.3821284140525346,4
2,muq_multitask,breathiness,0.5,0.5,1.0,0.5045815307024555,0.5761401897765535,0.4330228716283574,4
2,muq_multitask,vibrato,0.5,0.5,0.75,0.3591746276715841,0.3998222909275885,0.3185269644155796,4
3,muq_multitask,chest_resonance,0.5,0.5,0.0,0.3577721611057884,0.3582924362837831,0.3572518859277938,4
3,muq_multitask,head_resonance,0.5,0.5,0.25,0.32026215024327,0.3219137715424062,0.3186105289441339,4
3,muq_multitask,front_placement,0.5,0.5,0.5,0.4787399564119481,0.4989245456636761,0.4585553671602202,4
3,muq_multitask,back_placement,0.5,0.5,0.5,0.4979063143427008,0.5196722337782033,0.4761403949071983,4
3,muq_multitask,open_throat,0.5,0.5,0.5,0.3967432868116149,0.4355088805693377,0.3579776930538922,4
3,muq_multitask,breathiness,0.5,0.5,0.5,0.6785846245587261,0.7107425441265978,0.6464267049908544,4
3,muq_multitask,vibrato,0.5,0.5,0.25,0.5316853704757734,0.5697088529350051,0.4936618880165415,4
4,muq_multitask,chest_resonance,0.5,0.5,0.0,0.3909288950469036,0.3950489966854109,0.3868087934083963,4
4,muq_multitask,head_resonance,0.5,0.5,0.0,0.343001039962068,0.3444376048986518,0.3415644750254842,4
4,muq_multitask,front_placement,0.5,0.5,0.5,0.3890457735379484,0.4086383827151637,0.3694531643607333,4
4,muq_multitask,back_placement,0.5,0.5,0.25,0.4203898515191226,0.4300951111594675,0.4106845918787778,4
4,muq_multitask,open_throat,0.5,0.5,0.5,0.374069539416004,0.4170480578575571,0.3310910209744508,4
4,muq_multitask,breathiness,0.5,0.5,0.5,0.600476913139508,0.6346028433546368,0.5663509829243794,4
4,muq_multitask,vibrato,0.5,0.5,0.0,0.4803452356948934,0.502434618858208,0.4582558525315789,4
5,muq_multitask,chest_resonance,0.5,0.5,0.25,0.3937392472519476,0.4191940862226154,0.3682844082812799,4
5,muq_multitask,head_resonance,0.5,0.5,0.0,0.3628075468775726,0.3717918533365332,0.3538232404186121,4
5,muq_multitask,front_placement,0.5,0.5,0.25,0.3493620996640275,0.3563785837994065,0.3423456155286484,4
5,muq_multitask,back_placement,0.5,0.5,0.25,0.3662733119745596,0.3812376097422826,0.3513090142068366,4
5,muq_multitask,open_throat,0.5,0.5,0.0,0.4060297339259436,0.4399153876426603,0.3721440802092268,4
5,muq_multitask,breathiness,0.5,0.5,0.25,0.5728915895847755,0.579210122079392,0.5665730570901588,4
5,muq_multitask,vibrato,0.5,0.5,0.25,0.4104144747770863,0.4609668172703294,0.3598621322838434,4
