method,estimand,level,target,uar,macro_f1,accuracy
Class-bias-adjusted MERT/MuQ posterior fusion,aria_equal_weighted,target,open_throat,0.3317726048782705,0.30386217287433864,0.4999864100682103
Class-bias-adjusted MERT/MuQ posterior fusion,aria_equal_weighted,target,vibrato,0.3734013879348123,0.36950076076466215,0.648649691446801
Class-bias-adjusted MERT/MuQ posterior fusion,aria_equal_weighted,target_macro,ALL,0.3869914713103427,0.3603477729945563,0.5425239507092513
Class-bias-adjusted MuQ,segment_weighted,target,back_placement,0.37349174717912587,0.35486902039199975,0.5775462962962963
Class-bias-adjusted MuQ,segment_weighted,target,breathiness,0.4958659162431405,0.4830786515442754,0.6967592592592593
Class-bias-adjusted MuQ,segment_weighted,target,chest_resonance,0.34466883414426414,0.30666842703245883,0.3888888888888889
Class-bias-adjusted MuQ,segment_weighted,target,front_placement,0.400557877178384,0.3791374773048852,0.6206597222222222
Class-bias-adjusted MuQ,segment_weighted,target,head_resonance,0.32745038739147825,0.30725294763412697,0.3967013888888889
Class-bias-adjusted MuQ,segment_weighted,target,open_throat,0.30454541709405014,0.2948775317213208,0.5839120370370371
Class-bias-adjusted MuQ,segment_weighted,target,vibrato,0.4003462235180893,0.3800362804300515,0.5688657407407407
Class-bias-adjusted MuQ,segment_weighted,target_macro,ALL,0.3781323432497903,0.35798861943701693,0.5476190476190476
Class-bias-adjusted MuQ,source_equal_weighted,target,back_placement,0.3512681447936561,0.336789563496065,0.5566381040778069
Class-bias-adjusted MuQ,source_equal_weighted,target,breathiness,0.5013212527466692,0.48965668384482197,0.7222814974824795
Class-bias-adjusted MuQ,source_equal_weighted,target,chest_resonance,0.3498692783301837,0.3070208842010181,0.40759063402146356
Class-bias-adjusted MuQ,source_equal_weighted,target,front_placement,0.3965921875134062,0.3689347310681003,0.612328494674285
Class-bias-adjusted MuQ,source_equal_weighted,target,head_resonance,0.3285705463673349,0.3059084313446772,0.4005825805046495
Class-bias-adjusted MuQ,source_equal_weighted,target,open_throat,0.306409417772104,0.29223981506539215,0.5788432207786702
Class-bias-adjusted MuQ,source_equal_weighted,target,vibrato,0.4052552023095503,0.37924719244599187,0.5830370521348862
Class-bias-adjusted MuQ,source_equal_weighted,target_macro,ALL,0.3770408614047006,0.35425675735229517,0.551614511953463
Class-bias-adjusted MuQ,aria_equal_weighted,target,back_placement,0.3378707039328277,0.32755175411335274,0.49369196645398533
Class-bias-adjusted MuQ,aria_equal_weighted,target,breathiness,0.5076261612704369,0.5028296942121864,0.7568434409226249
Class-bias-adjusted MuQ,aria_equal_weighted,target,chest_resonance,0.3389682664315633,0.3005673366848236,0.4018485317968777
Class-bias-adjusted MuQ,aria_equal_weighted,target,front_placement,0.38939110967230195,0.3724967934218936,0.5945827162084991
Class-bias-adjusted MuQ,aria_equal_weighted,target,head_resonance,0.3224058015057831,0.2969399387784593,0.40341597936927087
Class-bias-adjusted MuQ,aria_equal_weighted,target,open_throat,0.3064571180932824,0.29494369404068843,0.5492798471782515
Class-bias-adjusted MuQ,aria_equal_weighted,target,vibrato,0.4178880222336436,0.3927689993411638,0.6300075957163916
Class-bias-adjusted MuQ,aria_equal_weighted,target_macro,ALL,0.37437245473426267,0.35544260151322404,0.5470957253779859
ComParE (inner-tuned),segment_weighted,target,back_placement,0.33168909454283985,0.32895115200983155,0.5998263888888888
ComParE (inner-tuned),segment_weighted,target,breathiness,0.501913001046237,0.5002160106158986,0.7699652777777778
ComParE (inner-tuned),segment_weighted,target,chest_resonance,0.29386120026874374,0.29341493139261277,0.4774305555555556
ComParE (inner-tuned),segment_weighted,target,front_placement,0.3491680432814495,0.34880724774781163,0.6883680555555556
ComParE (inner-tuned),segment_weighted,target,head_resonance,0.28963015773689393,0.2885247833154337,0.4366319444444444
ComParE (inner-tuned),segment_weighted,target,open_throat,0.28490963104890105,0.2846555922311285,0.5645254629629629
ComParE (inner-tuned),segment_weighted,target,vibrato,0.3587799495183504,0.3601120302038093,0.5894097222222222
ComParE (inner-tuned),segment_weighted,target_macro,ALL,0.3442787253490593,0.3435259639309323,0.5894510582010583
ComParE (inner-tuned),source_equal_weighted,target,back_placement,0.325794061213511,0.32319073375140506,0.6030960876460888
ComParE (inner-tuned),source_equal_weighted,target,breathiness,0.4936942418208107,0.4926295451022838,0.7734374773512155
ComParE (inner-tuned),source_equal_weighted,target,chest_resonance,0.2956096048392054,0.2920786177117961,0.4834799434651595
